Lineas correctas -> 531
Total errores -> 65

Fila : 2:  Error al subir foto, Archivo: 0 
Fila : 3:  Error al subir foto, Archivo: 0 
Fila : 5:  Error al subir foto, Archivo: 0 
Fila : 7:  Error al subir foto, Archivo: 0 
Fila : 8:  Error al subir foto, Archivo: 0 
Fila : 9:  Error al subir foto, Archivo: 0 
Fila : 10:  Error al subir foto, Archivo: 0 
Fila : 56:  Error al subir foto, Archivo: 0 
Fila : 63:  Error al subir foto, Archivo: 0 
Fila : 68:  Error al subir foto, Archivo: 0 
Fila : 69:  Error al subir foto, Archivo: 0 
Fila : 70:  Error al subir foto, Archivo: 0 
Fila : 71:  Error al subir foto, Archivo: 0 
Fila : 73:  Error al subir foto, Archivo: 0 
Fila : 74:  Error al subir foto, Archivo: 0 
Fila : 75:  Error al subir foto, Archivo: 0 
Fila : 77:  Error al subir foto, Archivo: 0 
Fila : 78:  Error al subir foto, Archivo: 0 
Fila : 83:  Error al subir foto, Archivo: 0 
Fila : 84:  Error al subir foto, Archivo: 0 
Fila : 85:  Error al subir foto, Archivo: 0 
Fila : 86:  Error al subir foto, Archivo: 0 
Fila : 87:  Error al subir foto, Archivo: 0 
Fila : 88:  Error al subir foto, Archivo: 0 
Fila : 89:  Error al subir foto, Archivo: 0 
Fila : 92:  Error al subir foto, Archivo: 0 
Fila : 93:  Error al subir foto, Archivo: 0 
Fila : 97:  Error al subir foto, Archivo: 0 
Fila : 98:  Error al subir foto, Archivo: 0 
Fila : 99:  Error al subir foto, Archivo: 0 
Fila : 100:  Error al subir foto, Archivo: 0 
Fila : 107:  Error al subir foto, Archivo: 0 
Fila : 108:  Error al subir foto, Archivo: 0 
Fila : 111:  Error al subir foto, Archivo: 0 
Fila : 113:  Error al subir foto, Archivo: 0 
Fila : 114:  Error al subir foto, Archivo: 0 
Fila : 115:  Error al subir foto, Archivo: 0 
Fila : 122:  Error al subir foto, Archivo: 0 
Fila : 124:  Error al subir foto, Archivo: 0 
Fila : 125:  Error al subir foto, Archivo: 0 
Fila : 126:  Error al subir foto, Archivo: 0 
Fila : 127:  Error al subir foto, Archivo: 0 
Fila : 128:  Error al subir foto, Archivo: 0 
Fila : 129:  Error al subir foto, Archivo: 0 
Fila : 130:  Error al subir foto, Archivo: 0 
Fila : 133:  Error al subir foto, Archivo: 0 
Fila : 134:  Error al subir foto, Archivo: 0 
Fila : 135:  Error al subir foto, Archivo: 0 
Fila : 139:  Error al subir foto, Archivo: 0 
Fila : 140:  Error al subir foto, Archivo: 0 
Fila : 141:  Error al subir foto, Archivo: 0 
Fila : 163:  Error al subir foto, Archivo: 0 
Fila : 190:  Error al subir foto, Archivo: 0 
Fila : 191:  Error al subir foto, Archivo: 0 
Fila : 192:  Error al subir foto, Archivo: 0 
Fila : 193:  Error al subir foto, Archivo: 0 
Fila : 194:  Error al subir foto, Archivo: 0 
Fila : 195:  Error al subir foto, Archivo: 0 
Fila : 196:  Error al subir foto, Archivo: 0 
Fila : 197:  Error al subir foto, Archivo: 0 
Fila : 198:  Error al subir foto, Archivo: 0 
Fila : 257:  Error al subir foto, Archivo: 0 
Fila : 304:  Error al subir foto, Archivo: 0 
Fila : 360:  Error al subir foto, Archivo: 0 
Fila : 361:  Error al subir foto, Archivo: 0 
