Lineas correctas -> 446
Total errores -> 49

Fila : 2:  Error al subir foto, Archivo: 0 
Fila : 5:  Error al subir foto, Archivo: 0 
Fila : 6:  Error al subir foto, Archivo: 0 
Fila : 7:  Error al subir foto, Archivo: 0 
Fila : 8:  Error al subir foto, Archivo: 0 
Fila : 9:  Error al subir foto, Archivo: 0 
Fila : 10:  Error al subir foto, Archivo: 0 
Fila : 11:  Error al subir foto, Archivo: 0 
Fila : 12:  Error al subir foto, Archivo: 0 
Fila : 40:  Error al subir foto, Archivo: 0 
Fila : 41:  Error al subir foto, Archivo: 0 
Fila : 42:  Error al subir foto, Archivo: 0 
Fila : 47:  Error al subir foto, Archivo: 0 
Fila : 54:  Error al subir foto, Archivo: 0 
Fila : 55:  Error al subir foto, Archivo: 0 
Fila : 56:  Error al subir foto, Archivo: 0 
Fila : 57:  Error al subir foto, Archivo: 0 
Fila : 58:  Error al subir foto, Archivo: 0 
Fila : 59:  Error al subir foto, Archivo: 0 
Fila : 61:  Error al subir foto, Archivo: 0 
Fila : 62:  Error al subir foto, Archivo: 0 
Fila : 66:  Error al subir foto, Archivo: 0 
Fila : 67:  Error al subir foto, Archivo: 0 
Fila : 70:  Error al subir foto, Archivo: 0 
Fila : 74:  Error al subir foto, Archivo: 0 
Fila : 75:  Error al subir foto, Archivo: 0 
Fila : 79:  Error al subir foto, Archivo: 0 
Fila : 80:  Error al subir foto, Archivo: 0 
Fila : 81:  Error al subir foto, Archivo: 0 
Fila : 82:  Error al subir foto, Archivo: 0 
Fila : 83:  Error al subir foto, Archivo: 0 
Fila : 84:  Error al subir foto, Archivo: 0 
Fila : 89:  Error al subir foto, Archivo: 0 
Fila : 90:  Error al subir foto, Archivo: 0 
Fila : 91:  Error al subir foto, Archivo: 0 
Fila : 92:  Error al subir foto, Archivo: 0 
Fila : 93:  Error al subir foto, Archivo: 0 
Fila : 94:  Error al subir foto, Archivo: 0 
Fila : 105:  Error al subir foto, Archivo: 0 
Fila : 111:  Error al subir foto, Archivo: 0 
Fila : 129:  Error al subir foto, Archivo: 0 
Fila : 130:  Error al subir foto, Archivo: 0 
Fila : 131:  Error al subir foto, Archivo: 0 
Fila : 132:  Error al subir foto, Archivo: 0 
Fila : 167:  Error al subir foto, Archivo: 0 
Fila : 237:  Error al subir foto, Archivo: 0 
Fila : 239:  Error al subir foto, Archivo: 0 
Fila : 268:  Error al subir foto, Archivo: 0 
Fila : 486:  Error al subir foto, Archivo: 0 
