Lineas correctas -> 85
Total errores -> 45

Fila : 5:  Error al subir foto, Archivo: 0 
Fila : 6:  Error al subir foto, Archivo: 0 
Fila : 20:  Error al subir foto, Archivo: 0 
Fila : 21:  Error al subir foto, Archivo: 0 
Fila : 25:  Error al subir foto, Archivo: 0 
Fila : 28:  Error al subir foto, Archivo: 0 
Fila : 29:  Error al subir foto, Archivo: 0 
Fila : 32:  Error al subir foto, Archivo: 0 
Fila : 33:  Error al subir foto, Archivo: 0 
Fila : 34:  Error al subir foto, Archivo: 0 
Fila : 35:  Error al subir foto, Archivo: 0 
Fila : 36:  Error al subir foto, Archivo: 0 
Fila : 38:  Error al subir foto, Archivo: 0 
Fila : 39:  Error al subir foto, Archivo: 0 
Fila : 40:  Error al subir foto, Archivo: 0 
Fila : 44:  Error al subir foto, Archivo: 0 
Fila : 45:  Error al subir foto, Archivo: 0 
Fila : 46:  Error al subir foto, Archivo: 0 
Fila : 47:  Error al subir foto, Archivo: 0 
Fila : 56:  Error al subir foto, Archivo: 0 
Fila : 58:  Error al subir foto, Archivo: 0 
Fila : 59:  Error al subir foto, Archivo: 0 
Fila : 60:  Error al subir foto, Archivo: 0 
Fila : 61:  Error al subir foto, Archivo: 0 
Fila : 62:  Error al subir foto, Archivo: 0 
Fila : 63:  Error al subir foto, Archivo: 0 
Fila : 80:  Error al subir foto, Archivo: 0 
Fila : 81:  Error al subir foto, Archivo: 0 
Fila : 82:  Error al subir foto, Archivo: 0 
Fila : 83:  Error al subir foto, Archivo: 0 
Fila : 86:  Error al subir foto, Archivo: 0 
Fila : 89:  Error al subir foto, Archivo: 0 
Fila : 92:  Error al subir foto, Archivo: 0 
Fila : 93:  Error al subir foto, Archivo: 0 
Fila : 95:  Error al subir foto, Archivo: 0 
Fila : 96:  Error al subir foto, Archivo: 0 
Fila : 103:  Error al subir foto, Archivo: 0 
Fila : 111:  Error al subir foto, Archivo: 0 
Fila : 112:  Error al subir foto, Archivo: 0 
Fila : 117:  Error al subir foto, Archivo: 0 
Fila : 118:  Error al subir foto, Archivo: 0 
Fila : 119:  Error al subir foto, Archivo: 0 
Fila : 121:  Error al subir foto, Archivo: 0 
Fila : 122:  Error al subir foto, Archivo: 0 
Fila : 124:  Error al subir foto, Archivo: 0 
