Lineas correctas -> 476
Total errores -> 89

Fila : 2:  Error al subir foto, Archivo: 0 
Fila : 3:  Error al subir foto, Archivo: 0 
Fila : 4:  Error al subir foto, Archivo: 0 
Fila : 8:  Error al subir foto, Archivo: 0 
Fila : 9:  Error al subir foto, Archivo: 0 
Fila : 10:  Error al subir foto, Archivo: 0 
Fila : 11:  Error al subir foto, Archivo: 0 
Fila : 12:  Error al subir foto, Archivo: 0 
Fila : 13:  Error al subir foto, Archivo: 0 
Fila : 14:  Error al subir foto, Archivo: 0 
Fila : 15:  Error al subir foto, Archivo: 0 
Fila : 16:  Error al subir foto, Archivo: 0 
Fila : 17:  Error al subir foto, Archivo: 0 
Fila : 59:  Error al subir foto, Archivo: 0 
Fila : 60:  Error al subir foto, Archivo: 0 
Fila : 61:  Error al subir foto, Archivo: 0 
Fila : 62:  Error al subir foto, Archivo: 0 
Fila : 63:  Error al subir foto, Archivo: 0 
Fila : 67:  Error al subir foto, Archivo: 0 
Fila : 68:  Error al subir foto, Archivo: 0 
Fila : 73:  Error al subir foto, Archivo: 0 
Fila : 74:  Error al subir foto, Archivo: 0 
Fila : 76:  Error al subir foto, Archivo: 0 
Fila : 77:  Error al subir foto, Archivo: 0 
Fila : 78:  Error al subir foto, Archivo: 0 
Fila : 79:  Error al subir foto, Archivo: 0 
Fila : 80:  Error al subir foto, Archivo: 0 
Fila : 84:  Error al subir foto, Archivo: 0 
Fila : 86:  Error al subir foto, Archivo: 0 
Fila : 87:  Error al subir foto, Archivo: 0 
Fila : 88:  Error al subir foto, Archivo: 0 
Fila : 89:  Error al subir foto, Archivo: 0 
Fila : 90:  Error al subir foto, Archivo: 0 
Fila : 91:  Error al subir foto, Archivo: 0 
Fila : 96:  Error al subir foto, Archivo: 0 
Fila : 97:  Error al subir foto, Archivo: 0 
Fila : 102:  Error al subir foto, Archivo: 0 
Fila : 103:  Error al subir foto, Archivo: 0 
Fila : 104:  Error al subir foto, Archivo: 0 
Fila : 109:  Error al subir foto, Archivo: 0 
Fila : 111:  Error al subir foto, Archivo: 0 
Fila : 113:  Error al subir foto, Archivo: 0 
Fila : 114:  Error al subir foto, Archivo: 0 
Fila : 118:  Error al subir foto, Archivo: 0 
Fila : 119:  Error al subir foto, Archivo: 0 
Fila : 130:  Error al subir foto, Archivo: 0 
Fila : 132:  Error al subir foto, Archivo: 0 
Fila : 133:  Error al subir foto, Archivo: 0 
Fila : 134:  Error al subir foto, Archivo: 0 
Fila : 135:  Error al subir foto, Archivo: 0 
Fila : 136:  Error al subir foto, Archivo: 0 
Fila : 137:  Error al subir foto, Archivo: 0 
Fila : 139:  Error al subir foto, Archivo: 0 
Fila : 140:  Error al subir foto, Archivo: 0 
Fila : 141:  Error al subir foto, Archivo: 0 
Fila : 142:  Error al subir foto, Archivo: 0 
Fila : 143:  Error al subir foto, Archivo: 0 
Fila : 144:  Error al subir foto, Archivo: 0 
Fila : 145:  Error al subir foto, Archivo: 0 
Fila : 146:  Error al subir foto, Archivo: 0 
Fila : 148:  Error al subir foto, Archivo: 0 
Fila : 212:  Error al subir foto, Archivo: 0 
Fila : 213:  Error al subir foto, Archivo: 0 
Fila : 214:  Error al subir foto, Archivo: 0 
Fila : 215:  Error al subir foto, Archivo: 0 
Fila : 216:  Error al subir foto, Archivo: 0 
Fila : 217:  Error al subir foto, Archivo: 0 
Fila : 218:  Error al subir foto, Archivo: 0 
Fila : 219:  Error al subir foto, Archivo: 0 
Fila : 220:  Error al subir foto, Archivo: 0 
Fila : 221:  Error al subir foto, Archivo: 0 
Fila : 222:  Error al subir foto, Archivo: 0 
Fila : 223:  Error al subir foto, Archivo: 0 
Fila : 224:  Error al subir foto, Archivo: 0 
Fila : 225:  Error al subir foto, Archivo: 0 
Fila : 226:  Error al subir foto, Archivo: 0 
Fila : 227:  Error al subir foto, Archivo: 0 
Fila : 228:  Error al subir foto, Archivo: 0 
Fila : 229:  Error al subir foto, Archivo: 0 
Fila : 230:  Error al subir foto, Archivo: 0 
Fila : 231:  Error al subir foto, Archivo: 0 
Fila : 232:  Error al subir foto, Archivo: 0 
Fila : 280:  Error al subir foto, Archivo: 0 
Fila : 281:  Error al subir foto, Archivo: 0 
Fila : 318:  Error al subir foto, Archivo: 0 
Fila : 384:  Error al subir foto, Archivo: 0 
Fila : 428:  Error al subir foto, Archivo: 0 
Fila : 447:  Error al subir foto, Archivo: 0 
Fila : 486:  Error al subir foto, Archivo: 0 
