Lineas correctas -> 497
Total errores -> 57

Fila : 2:  Error al subir foto, Archivo: 0 
Fila : 4:  Error al subir foto, Archivo: 0 
Fila : 8:  Error al subir foto, Archivo: 0 
Fila : 10:  Error al subir foto, Archivo: 0 
Fila : 32:  Error al subir foto, Archivo: 0 
Fila : 35:  Error al subir foto, Archivo: 0 
Fila : 36:  Error al subir foto, Archivo: 0 
Fila : 37:  Error al subir foto, Archivo: 0 
Fila : 45:  Error al subir foto, Archivo: 0 
Fila : 46:  Error al subir foto, Archivo: 0 
Fila : 47:  Error al subir foto, Archivo: 0 
Fila : 48:  Error al subir foto, Archivo: 0 
Fila : 49:  Error al subir foto, Archivo: 0 
Fila : 50:  Error al subir foto, Archivo: 0 
Fila : 52:  Error al subir foto, Archivo: 0 
Fila : 53:  Error al subir foto, Archivo: 0 
Fila : 54:  Error al subir foto, Archivo: 0 
Fila : 59:  Error al subir foto, Archivo: 0 
Fila : 60:  Error al subir foto, Archivo: 0 
Fila : 61:  Error al subir foto, Archivo: 0 
Fila : 62:  Error al subir foto, Archivo: 0 
Fila : 63:  Error al subir foto, Archivo: 0 
Fila : 71:  Error al subir foto, Archivo: 0 
Fila : 72:  Error al subir foto, Archivo: 0 
Fila : 73:  Error al subir foto, Archivo: 0 
Fila : 75:  Error al subir foto, Archivo: 0 
Fila : 77:  Error al subir foto, Archivo: 0 
Fila : 80:  Error al subir foto, Archivo: 0 
Fila : 81:  Error al subir foto, Archivo: 0 
Fila : 83:  Error al subir foto, Archivo: 0 
Fila : 84:  Error al subir foto, Archivo: 0 
Fila : 85:  Error al subir foto, Archivo: 0 
Fila : 88:  Error al subir foto, Archivo: 0 
Fila : 89:  Error al subir foto, Archivo: 0 
Fila : 94:  Error al subir foto, Archivo: 0 
Fila : 95:  Error al subir foto, Archivo: 0 
Fila : 96:  Error al subir foto, Archivo: 0 
Fila : 97:  Error al subir foto, Archivo: 0 
Fila : 98:  Error al subir foto, Archivo: 0 
Fila : 99:  Error al subir foto, Archivo: 0 
Fila : 100:  Error al subir foto, Archivo: 0 
Fila : 102:  Error al subir foto, Archivo: 0 
Fila : 103:  Error al subir foto, Archivo: 0 
Fila : 107:  Error al subir foto, Archivo: 0 
Fila : 118:  Error al subir foto, Archivo: 0 
Fila : 119:  Error al subir foto, Archivo: 0 
Fila : 150:  Error al subir foto, Archivo: 0 
Fila : 151:  Error al subir foto, Archivo: 0 
Fila : 152:  Error al subir foto, Archivo: 0 
Fila : 153:  Error al subir foto, Archivo: 0 
Fila : 154:  Error al subir foto, Archivo: 0 
Fila : 155:  Error al subir foto, Archivo: 0 
Fila : 266:  Error al subir foto, Archivo: 0 
Fila : 299:  Error al subir foto, Archivo: 0 
Fila : 303:  Error al subir foto, Archivo: 0 
Fila : 463:  Error al subir foto, Archivo: 0 
Fila : 529:  Error al subir foto, Archivo: 0 
