Lineas correctas -> 455
Total errores -> 62

Fila : 2:  Error al subir foto, Archivo: 0 
Fila : 3:  Error al subir foto, Archivo: 0 
Fila : 4:  Error al subir foto, Archivo: 0 
Fila : 5:  Error al subir foto, Archivo: 0 
Fila : 7:  Error al subir foto, Archivo: 0 
Fila : 8:  Error al subir foto, Archivo: 0 
Fila : 10:  Error al subir foto, Archivo: 0 
Fila : 36:  Error al subir foto, Archivo: 0 
Fila : 39:  Error al subir foto, Archivo: 0 
Fila : 43:  Error al subir foto, Archivo: 0 
Fila : 48:  Error al subir foto, Archivo: 0 
Fila : 49:  Error al subir foto, Archivo: 0 
Fila : 50:  Error al subir foto, Archivo: 0 
Fila : 54:  Error al subir foto, Archivo: 0 
Fila : 55:  Error al subir foto, Archivo: 0 
Fila : 59:  Error al subir foto, Archivo: 0 
Fila : 65:  Error al subir foto, Archivo: 0 
Fila : 66:  Error al subir foto, Archivo: 0 
Fila : 67:  Error al subir foto, Archivo: 0 
Fila : 68:  Error al subir foto, Archivo: 0 
Fila : 69:  Error al subir foto, Archivo: 0 
Fila : 71:  Error al subir foto, Archivo: 0 
Fila : 80:  Error al subir foto, Archivo: 0 
Fila : 81:  Error al subir foto, Archivo: 0 
Fila : 82:  Error al subir foto, Archivo: 0 
Fila : 83:  Error al subir foto, Archivo: 0 
Fila : 84:  Error al subir foto, Archivo: 0 
Fila : 85:  Error al subir foto, Archivo: 0 
Fila : 90:  Error al subir foto, Archivo: 0 
Fila : 93:  Error al subir foto, Archivo: 0 
Fila : 98:  Error al subir foto, Archivo: 0 
Fila : 105:  Error al subir foto, Archivo: 0 
Fila : 122:  Error al subir foto, Archivo: 0 
Fila : 123:  Error al subir foto, Archivo: 0 
Fila : 124:  Error al subir foto, Archivo: 0 
Fila : 125:  Error al subir foto, Archivo: 0 
Fila : 126:  Error al subir foto, Archivo: 0 
Fila : 127:  Error al subir foto, Archivo: 0 
Fila : 128:  Error al subir foto, Archivo: 0 
Fila : 152:  Error al subir foto, Archivo: 0 
Fila : 153:  Error al subir foto, Archivo: 0 
Fila : 179:  Error al subir foto, Archivo: 0 
Fila : 211:  Error al subir foto, Archivo: 0 
Fila : 212:  Error al subir foto, Archivo: 0 
Fila : 254:  Error al subir foto, Archivo: 0 
Fila : 255:  Error al subir foto, Archivo: 0 
Fila : 287:  Error al subir foto, Archivo: 0 
Fila : 404:  Error al subir foto, Archivo: 0 
Fila : 406:  Error al subir foto, Archivo: 0 
Fila : 407:  Error al subir foto, Archivo: 0 
Fila : 408:  Error al subir foto, Archivo: 0 
Fila : 417:  Error al subir foto, Archivo: 0 
Fila : 418:  Error al subir foto, Archivo: 0 
Fila : 419:  Error al subir foto, Archivo: 0 
Fila : 420:  Error al subir foto, Archivo: 0 
Fila : 421:  Error al subir foto, Archivo: 0 
Fila : 422:  Error al subir foto, Archivo: 0 
Fila : 423:  Error al subir foto, Archivo: 0 
Fila : 427:  Error al subir foto, Archivo: 0 
Fila : 428:  Error al subir foto, Archivo: 0 
Fila : 429:  Error al subir foto, Archivo: 0 
Fila : 430:  Error al subir foto, Archivo: 0 
