Lineas correctas -> 502
Total errores -> 86

Fila : 4:  Error al subir foto, Archivo: 0 
Fila : 10:  Error al subir foto, Archivo: 0 
Fila : 11:  Error al subir foto, Archivo: 0 
Fila : 12:  Error al subir foto, Archivo: 0 
Fila : 13:  Error al subir foto, Archivo: 0 
Fila : 14:  Error al subir foto, Archivo: 0 
Fila : 15:  Error al subir foto, Archivo: 0 
Fila : 16:  Error al subir foto, Archivo: 0 
Fila : 17:  Error al subir foto, Archivo: 0 
Fila : 63:  Error al subir foto, Archivo: 0 
Fila : 67:  Error al subir foto, Archivo: 0 
Fila : 68:  Error al subir foto, Archivo: 0 
Fila : 69:  Error al subir foto, Archivo: 0 
Fila : 71:  Error al subir foto, Archivo: 0 
Fila : 72:  Error al subir foto, Archivo: 0 
Fila : 78:  Error al subir foto, Archivo: 0 
Fila : 79:  Error al subir foto, Archivo: 0 
Fila : 80:  Error al subir foto, Archivo: 0 
Fila : 81:  Error al subir foto, Archivo: 0 
Fila : 84:  Error al subir foto, Archivo: 0 
Fila : 85:  Error al subir foto, Archivo: 0 
Fila : 86:  Error al subir foto, Archivo: 0 
Fila : 87:  Error al subir foto, Archivo: 0 
Fila : 88:  Error al subir foto, Archivo: 0 
Fila : 89:  Error al subir foto, Archivo: 0 
Fila : 92:  Error al subir foto, Archivo: 0 
Fila : 94:  Error al subir foto, Archivo: 0 
Fila : 96:  Error al subir foto, Archivo: 0 
Fila : 97:  Error al subir foto, Archivo: 0 
Fila : 98:  Error al subir foto, Archivo: 0 
Fila : 99:  Error al subir foto, Archivo: 0 
Fila : 100:  Error al subir foto, Archivo: 0 
Fila : 105:  Error al subir foto, Archivo: 0 
Fila : 106:  Error al subir foto, Archivo: 0 
Fila : 107:  Error al subir foto, Archivo: 0 
Fila : 108:  Error al subir foto, Archivo: 0 
Fila : 111:  Error al subir foto, Archivo: 0 
Fila : 112:  Error al subir foto, Archivo: 0 
Fila : 113:  Error al subir foto, Archivo: 0 
Fila : 116:  Error al subir foto, Archivo: 0 
Fila : 117:  Error al subir foto, Archivo: 0 
Fila : 119:  Error al subir foto, Archivo: 0 
Fila : 120:  Error al subir foto, Archivo: 0 
Fila : 121:  Error al subir foto, Archivo: 0 
Fila : 131:  Error al subir foto, Archivo: 0 
Fila : 132:  Error al subir foto, Archivo: 0 
Fila : 133:  Error al subir foto, Archivo: 0 
Fila : 134:  Error al subir foto, Archivo: 0 
Fila : 135:  Error al subir foto, Archivo: 0 
Fila : 136:  Error al subir foto, Archivo: 0 
Fila : 137:  Error al subir foto, Archivo: 0 
Fila : 138:  Error al subir foto, Archivo: 0 
Fila : 139:  Error al subir foto, Archivo: 0 
Fila : 140:  Error al subir foto, Archivo: 0 
Fila : 141:  Error al subir foto, Archivo: 0 
Fila : 142:  Error al subir foto, Archivo: 0 
Fila : 143:  Error al subir foto, Archivo: 0 
Fila : 144:  Error al subir foto, Archivo: 0 
Fila : 145:  Error al subir foto, Archivo: 0 
Fila : 146:  Error al subir foto, Archivo: 0 
Fila : 147:  Error al subir foto, Archivo: 0 
Fila : 148:  Error al subir foto, Archivo: 0 
Fila : 149:  Error al subir foto, Archivo: 0 
Fila : 150:  Error al subir foto, Archivo: 0 
Fila : 153:  Error al subir foto, Archivo: 0 
Fila : 158:  Error al subir foto, Archivo: 0 
Fila : 159:  Error al subir foto, Archivo: 0 
Fila : 163:  Error al subir foto, Archivo: 0 
Fila : 171:  Error al subir foto, Archivo: 0 
Fila : 179:  Error al subir foto, Archivo: 0 
Fila : 211:  Error al subir foto, Archivo: 0 
Fila : 212:  Error al subir foto, Archivo: 0 
Fila : 213:  Error al subir foto, Archivo: 0 
Fila : 214:  Error al subir foto, Archivo: 0 
Fila : 215:  Error al subir foto, Archivo: 0 
Fila : 216:  Error al subir foto, Archivo: 0 
Fila : 217:  Error al subir foto, Archivo: 0 
Fila : 218:  Error al subir foto, Archivo: 0 
Fila : 219:  Error al subir foto, Archivo: 0 
Fila : 220:  Error al subir foto, Archivo: 0 
Fila : 221:  Error al subir foto, Archivo: 0 
Fila : 266:  Error al subir foto, Archivo: 0 
Fila : 295:  Error al subir foto, Archivo: 0 
Fila : 356:  Error al subir foto, Archivo: 0 
Fila : 357:  Error al subir foto, Archivo: 0 
Fila : 455:  Error al subir foto, Archivo: 0 
