Lineas correctas -> 505
Total errores -> 71

Fila : 2:  Error al subir foto, Archivo: 0 
Fila : 3:  Error al subir foto, Archivo: 0 
Fila : 5:  Error al subir foto, Archivo: 0 
Fila : 6:  Error al subir foto, Archivo: 0 
Fila : 12:  Error al subir foto, Archivo: 0 
Fila : 13:  Error al subir foto, Archivo: 0 
Fila : 14:  Error al subir foto, Archivo: 0 
Fila : 54:  Error al subir foto, Archivo: 0 
Fila : 57:  Error al subir foto, Archivo: 0 
Fila : 58:  Error al subir foto, Archivo: 0 
Fila : 59:  Error al subir foto, Archivo: 0 
Fila : 60:  Error al subir foto, Archivo: 0 
Fila : 64:  Error al subir foto, Archivo: 0 
Fila : 70:  Error al subir foto, Archivo: 0 
Fila : 71:  Error al subir foto, Archivo: 0 
Fila : 72:  Error al subir foto, Archivo: 0 
Fila : 73:  Error al subir foto, Archivo: 0 
Fila : 74:  Error al subir foto, Archivo: 0 
Fila : 75:  Error al subir foto, Archivo: 0 
Fila : 80:  Error al subir foto, Archivo: 0 
Fila : 82:  Error al subir foto, Archivo: 0 
Fila : 83:  Error al subir foto, Archivo: 0 
Fila : 85:  Error al subir foto, Archivo: 0 
Fila : 86:  Error al subir foto, Archivo: 0 
Fila : 89:  Error al subir foto, Archivo: 0 
Fila : 93:  Error al subir foto, Archivo: 0 
Fila : 94:  Error al subir foto, Archivo: 0 
Fila : 95:  Error al subir foto, Archivo: 0 
Fila : 96:  Error al subir foto, Archivo: 0 
Fila : 97:  Error al subir foto, Archivo: 0 
Fila : 98:  Error al subir foto, Archivo: 0 
Fila : 99:  Error al subir foto, Archivo: 0 
Fila : 104:  Error al subir foto, Archivo: 0 
Fila : 105:  Error al subir foto, Archivo: 0 
Fila : 106:  Error al subir foto, Archivo: 0 
Fila : 109:  Error al subir foto, Archivo: 0 
Fila : 113:  Error al subir foto, Archivo: 0 
Fila : 114:  Error al subir foto, Archivo: 0 
Fila : 115:  Error al subir foto, Archivo: 0 
Fila : 116:  Error al subir foto, Archivo: 0 
Fila : 117:  Error al subir foto, Archivo: 0 
Fila : 118:  Error al subir foto, Archivo: 0 
Fila : 120:  Error al subir foto, Archivo: 0 
Fila : 121:  Error al subir foto, Archivo: 0 
Fila : 122:  Error al subir foto, Archivo: 0 
Fila : 123:  Error al subir foto, Archivo: 0 
Fila : 131:  Error al subir foto, Archivo: 0 
Fila : 132:  Error al subir foto, Archivo: 0 
Fila : 133:  Error al subir foto, Archivo: 0 
Fila : 134:  Error al subir foto, Archivo: 0 
Fila : 135:  Error al subir foto, Archivo: 0 
Fila : 136:  Error al subir foto, Archivo: 0 
Fila : 137:  Error al subir foto, Archivo: 0 
Fila : 138:  Error al subir foto, Archivo: 0 
Fila : 139:  Error al subir foto, Archivo: 0 
Fila : 143:  Error al subir foto, Archivo: 0 
Fila : 144:  Error al subir foto, Archivo: 0 
Fila : 151:  Error al subir foto, Archivo: 0 
Fila : 161:  Error al subir foto, Archivo: 0 
Fila : 169:  Error al subir foto, Archivo: 0 
Fila : 192:  Error al subir foto, Archivo: 0 
Fila : 193:  Error al subir foto, Archivo: 0 
Fila : 194:  Error al subir foto, Archivo: 0 
Fila : 195:  Error al subir foto, Archivo: 0 
Fila : 196:  Error al subir foto, Archivo: 0 
Fila : 197:  Error al subir foto, Archivo: 0 
Fila : 228:  Error al subir foto, Archivo: 0 
Fila : 256:  Error al subir foto, Archivo: 0 
Fila : 332:  Error al subir foto, Archivo: 0 
Fila : 360:  Error al subir foto, Archivo: 0 
Fila : 525:  Error al subir foto, Archivo: 0 
