Lineas correctas -> 415
Total errores -> 122

Fila : 2:  Error al subir foto, Archivo: 0 
Fila : 3:  Error al subir foto, Archivo: 0 
Fila : 4:  Error al subir foto, Archivo: 0 
Fila : 5:  Error al subir foto, Archivo: 0 
Fila : 6:  Error al subir foto, Archivo: 0 
Fila : 7:  Error al subir foto, Archivo: 0 
Fila : 9:  Error al subir foto, Archivo: 0 
Fila : 10:  Error al subir foto, Archivo: 0 
Fila : 11:  Error al subir foto, Archivo: 0 
Fila : 12:  Error al subir foto, Archivo: 0 
Fila : 13:  Error al subir foto, Archivo: 0 
Fila : 14:  Error al subir foto, Archivo: 0 
Fila : 15:  Error al subir foto, Archivo: 0 
Fila : 16:  Error al subir foto, Archivo: 0 
Fila : 17:  Error al subir foto, Archivo: 0 
Fila : 18:  Error al subir foto, Archivo: 0 
Fila : 19:  Error al subir foto, Archivo: 0 
Fila : 20:  Error al subir foto, Archivo: 0 
Fila : 21:  Error al subir foto, Archivo: 0 
Fila : 22:  Error al subir foto, Archivo: 0 
Fila : 23:  Error al subir foto, Archivo: 0 
Fila : 24:  Error al subir foto, Archivo: 0 
Fila : 25:  Error al subir foto, Archivo: 0 
Fila : 26:  Error al subir foto, Archivo: 0 
Fila : 27:  Error al subir foto, Archivo: 0 
Fila : 77:  Error al subir foto, Archivo: 0 
Fila : 78:  Error al subir foto, Archivo: 0 
Fila : 79:  Error al subir foto, Archivo: 0 
Fila : 80:  Error al subir foto, Archivo: 0 
Fila : 81:  Error al subir foto, Archivo: 0 
Fila : 82:  Error al subir foto, Archivo: 0 
Fila : 85:  Error al subir foto, Archivo: 0 
Fila : 95:  Error al subir foto, Archivo: 0 
Fila : 96:  Error al subir foto, Archivo: 0 
Fila : 97:  Error al subir foto, Archivo: 0 
Fila : 99:  Error al subir foto, Archivo: 0 
Fila : 101:  Error al subir foto, Archivo: 0 
Fila : 102:  Error al subir foto, Archivo: 0 
Fila : 103:  Error al subir foto, Archivo: 0 
Fila : 104:  Error al subir foto, Archivo: 0 
Fila : 105:  Error al subir foto, Archivo: 0 
Fila : 106:  Error al subir foto, Archivo: 0 
Fila : 107:  Error al subir foto, Archivo: 0 
Fila : 108:  Error al subir foto, Archivo: 0 
Fila : 109:  Error al subir foto, Archivo: 0 
Fila : 110:  Error al subir foto, Archivo: 0 
Fila : 111:  Error al subir foto, Archivo: 0 
Fila : 117:  Error al subir foto, Archivo: 0 
Fila : 121:  Error al subir foto, Archivo: 0 
Fila : 122:  Error al subir foto, Archivo: 0 
Fila : 123:  Error al subir foto, Archivo: 0 
Fila : 124:  Error al subir foto, Archivo: 0 
Fila : 125:  Error al subir foto, Archivo: 0 
Fila : 126:  Error al subir foto, Archivo: 0 
Fila : 128:  Error al subir foto, Archivo: 0 
Fila : 129:  Error al subir foto, Archivo: 0 
Fila : 130:  Error al subir foto, Archivo: 0 
Fila : 131:  Error al subir foto, Archivo: 0 
Fila : 132:  Error al subir foto, Archivo: 0 
Fila : 133:  Error al subir foto, Archivo: 0 
Fila : 134:  Error al subir foto, Archivo: 0 
Fila : 135:  Error al subir foto, Archivo: 0 
Fila : 136:  Error al subir foto, Archivo: 0 
Fila : 137:  Error al subir foto, Archivo: 0 
Fila : 138:  Error al subir foto, Archivo: 0 
Fila : 139:  Error al subir foto, Archivo: 0 
Fila : 143:  Error al subir foto, Archivo: 0 
Fila : 144:  Error al subir foto, Archivo: 0 
Fila : 145:  Error al subir foto, Archivo: 0 
Fila : 146:  Error al subir foto, Archivo: 0 
Fila : 147:  Error al subir foto, Archivo: 0 
Fila : 148:  Error al subir foto, Archivo: 0 
Fila : 149:  Error al subir foto, Archivo: 0 
Fila : 150:  Error al subir foto, Archivo: 0 
Fila : 154:  Error al subir foto, Archivo: 0 
Fila : 157:  Error al subir foto, Archivo: 0 
Fila : 158:  Error al subir foto, Archivo: 0 
Fila : 161:  Error al subir foto, Archivo: 0 
Fila : 162:  Error al subir foto, Archivo: 0 
Fila : 163:  Error al subir foto, Archivo: 0 
Fila : 164:  Error al subir foto, Archivo: 0 
Fila : 165:  Error al subir foto, Archivo: 0 
Fila : 166:  Error al subir foto, Archivo: 0 
Fila : 167:  Error al subir foto, Archivo: 0 
Fila : 168:  Error al subir foto, Archivo: 0 
Fila : 169:  Error al subir foto, Archivo: 0 
Fila : 173:  Error al subir foto, Archivo: 0 
Fila : 174:  Error al subir foto, Archivo: 0 
Fila : 175:  Error al subir foto, Archivo: 0 
Fila : 176:  Error al subir foto, Archivo: 0 
Fila : 181:  Error al subir foto, Archivo: 0 
Fila : 182:  Error al subir foto, Archivo: 0 
Fila : 183:  Error al subir foto, Archivo: 0 
Fila : 184:  Error al subir foto, Archivo: 0 
Fila : 185:  Error al subir foto, Archivo: 0 
Fila : 186:  Error al subir foto, Archivo: 0 
Fila : 187:  Error al subir foto, Archivo: 0 
Fila : 188:  Error al subir foto, Archivo: 0 
Fila : 192:  Error al subir foto, Archivo: 0 
Fila : 193:  Error al subir foto, Archivo: 0 
Fila : 194:  Error al subir foto, Archivo: 0 
Fila : 195:  Error al subir foto, Archivo: 0 
Fila : 201:  Error al subir foto, Archivo: 0 
Fila : 210:  Error al subir foto, Archivo: 0 
Fila : 213:  Error al subir foto, Archivo: 0 
Fila : 275:  Error al subir foto, Archivo: 0 
Fila : 276:  Error al subir foto, Archivo: 0 
Fila : 277:  Error al subir foto, Archivo: 0 
Fila : 278:  Error al subir foto, Archivo: 0 
Fila : 279:  Error al subir foto, Archivo: 0 
Fila : 280:  Error al subir foto, Archivo: 0 
Fila : 281:  Error al subir foto, Archivo: 0 
Fila : 282:  Error al subir foto, Archivo: 0 
Fila : 283:  Error al subir foto, Archivo: 0 
Fila : 284:  Error al subir foto, Archivo: 0 
Fila : 285:  Error al subir foto, Archivo: 0 
Fila : 286:  Error al subir foto, Archivo: 0 
Fila : 287:  Error al subir foto, Archivo: 0 
Fila : 345:  Error al subir foto, Archivo: 0 
Fila : 346:  Error al subir foto, Archivo: 0 
Fila : 347:  Error al subir foto, Archivo: 0 
Fila : 362:  Error al subir foto, Archivo: 0 
