Lineas correctas -> 505
Total errores -> 71

Fila : 2:  Error al subir foto, Archivo: 0 
Fila : 7:  Error al subir foto, Archivo: 0 
Fila : 10:  Error al subir foto, Archivo: 0 
Fila : 11:  Error al subir foto, Archivo: 0 
Fila : 13:  Error al subir foto, Archivo: 0 
Fila : 14:  Error al subir foto, Archivo: 0 
Fila : 15:  Error al subir foto, Archivo: 0 
Fila : 16:  Error al subir foto, Archivo: 0 
Fila : 17:  Error al subir foto, Archivo: 0 
Fila : 18:  Error al subir foto, Archivo: 0 
Fila : 60:  Error al subir foto, Archivo: 0 
Fila : 61:  Error al subir foto, Archivo: 0 
Fila : 62:  Error al subir foto, Archivo: 0 
Fila : 63:  Error al subir foto, Archivo: 0 
Fila : 65:  Error al subir foto, Archivo: 0 
Fila : 67:  Error al subir foto, Archivo: 0 
Fila : 68:  Error al subir foto, Archivo: 0 
Fila : 74:  Error al subir foto, Archivo: 0 
Fila : 75:  Error al subir foto, Archivo: 0 
Fila : 76:  Error al subir foto, Archivo: 0 
Fila : 77:  Error al subir foto, Archivo: 0 
Fila : 78:  Error al subir foto, Archivo: 0 
Fila : 79:  Error al subir foto, Archivo: 0 
Fila : 81:  Error al subir foto, Archivo: 0 
Fila : 82:  Error al subir foto, Archivo: 0 
Fila : 83:  Error al subir foto, Archivo: 0 
Fila : 84:  Error al subir foto, Archivo: 0 
Fila : 85:  Error al subir foto, Archivo: 0 
Fila : 89:  Error al subir foto, Archivo: 0 
Fila : 90:  Error al subir foto, Archivo: 0 
Fila : 91:  Error al subir foto, Archivo: 0 
Fila : 92:  Error al subir foto, Archivo: 0 
Fila : 93:  Error al subir foto, Archivo: 0 
Fila : 94:  Error al subir foto, Archivo: 0 
Fila : 97:  Error al subir foto, Archivo: 0 
Fila : 98:  Error al subir foto, Archivo: 0 
Fila : 101:  Error al subir foto, Archivo: 0 
Fila : 102:  Error al subir foto, Archivo: 0 
Fila : 103:  Error al subir foto, Archivo: 0 
Fila : 104:  Error al subir foto, Archivo: 0 
Fila : 106:  Error al subir foto, Archivo: 0 
Fila : 107:  Error al subir foto, Archivo: 0 
Fila : 108:  Error al subir foto, Archivo: 0 
Fila : 111:  Error al subir foto, Archivo: 0 
Fila : 112:  Error al subir foto, Archivo: 0 
Fila : 113:  Error al subir foto, Archivo: 0 
Fila : 114:  Error al subir foto, Archivo: 0 
Fila : 115:  Error al subir foto, Archivo: 0 
Fila : 116:  Error al subir foto, Archivo: 0 
Fila : 117:  Error al subir foto, Archivo: 0 
Fila : 118:  Error al subir foto, Archivo: 0 
Fila : 123:  Error al subir foto, Archivo: 0 
Fila : 130:  Error al subir foto, Archivo: 0 
Fila : 131:  Error al subir foto, Archivo: 0 
Fila : 132:  Error al subir foto, Archivo: 0 
Fila : 139:  Error al subir foto, Archivo: 0 
Fila : 140:  Error al subir foto, Archivo: 0 
Fila : 141:  Error al subir foto, Archivo: 0 
Fila : 149:  Error al subir foto, Archivo: 0 
Fila : 175:  Error al subir foto, Archivo: 0 
Fila : 176:  Error al subir foto, Archivo: 0 
Fila : 177:  Error al subir foto, Archivo: 0 
Fila : 178:  Error al subir foto, Archivo: 0 
Fila : 179:  Error al subir foto, Archivo: 0 
Fila : 180:  Error al subir foto, Archivo: 0 
Fila : 208:  Error al subir foto, Archivo: 0 
Fila : 250:  Error al subir foto, Archivo: 0 
Fila : 481:  Error al subir foto, Archivo: 0 
Fila : 497:  Error al subir foto, Archivo: 0 
Fila : 498:  Error al subir foto, Archivo: 0 
Fila : 570:  Error al subir foto, Archivo: 0 
